OID_,LSOA21CD,povertyweight,400tram_ratio,400bus_ratio,metroPointCount,busPoint_Count,Index_of_M_1,IMD_rank,sapelsoapopulationdensity,populationdensity20222024_csv_Mid_2024__Population_1,populationdensity2024,Total_population,F65,M65,NQPDE400,BtE400,TPD400,400tramsum_Area_SQUAREMETERS,Unnamed: 19,access,access_gap,65ratio,olderratio,Cent_norm,popdense_normalised,popdense,400tramsum_Area_SQUAREMETERS_1,400bussum_Area_SQUAREMETERS,vul_str,vul_ser,vul_pop,Vul_sum,Exp_flag,Vul_type
12,E01006236,-0.7,0,0.112040231,0,24,24467,8,4.51,1516,336,1516,222,206,0.001662808,0.333333343,1,0,,0.078428162,0.921571838,0.2823219,0.078053974,0.001034608,0.128187614,336.1419069,0,504996.8367,0,1,0,1,0,1
13,E01005455,-0.3,0,0.289256352,0,2,12460,4,0.17,1480,8970,1480,138,95,0.000794553,0.333333343,1,0,,0.202479446,0.797520554,0.157432432,0.08788892,0.000494375,0.119990893,8705.882353,0,47760.31467,0,1,0,1,0,1
14,E01005844,-0.6,0,0.088547005,0,5,20278,7,0.83,1576,1895,1576,206,174,0.00374416,0.333333343,1,0,,0.061982904,0.938017097,0.241116751,0.090468654,0.002329637,0.141848816,1898.795181,0,73632.53101,0,1,0,1,0,1
15,E01006170,-0.7,0,0.105466916,0,4,24540,8,1.41,1623,1147,1623,198,135,0.001548649,0.333333343,1,0,,0.073826841,0.926173159,0.205175601,0.05700844,0.000963578,0.152550091,1151.06383,0,149168.9279,0,1,0,1,0,1
16,E01005516,-0.5,0,0.148953073,0,4,19178,6,0.28,1240,4496,1240,147,119,0.002489233,0.333333343,1,0,,0.104267151,0.895732849,0.214516129,0.096074572,0.001548814,0.065346084,4428.571429,0,41077.1422,0,1,0,1,0,1
17,E01006239,0,0,0.285610714,0,14,1562,1,0.43,2133,4985,2133,186,148,0.004160509,0.333333343,1,0,,0.1999275,0.8000725,0.156586967,0.125280926,0.002588692,0.26867031,4960.465116,0,122175.3681,0,1,0,1,0,1
18,E01005212,-0.4,0,0.573173346,0,10,13568,5,0.28,4478,16108,4478,17,35,0.004143624,0.333333313,0.99999994,0,,0.401221342,0.598778658,0.011612327,0.004171928,0.002578186,0.802595628,15992.85714,0,159380.6273,0,1,0,1,0,1
19,E01005713,-0.8,0,0.206163288,0,5,30072,9,0.4,1627,4086,1627,226,193,0.002925799,0.333333373,1,0,,0.144314302,0.855685698,0.257529195,0.04407281,0.001820448,0.153460838,4067.5,0,82081.43872,0,1,0,1,0,1
20,E01005798,-0.3,0,0.468919032,0,12,12563,4,0.39,1716,4428,1716,249,194,0.00988246,1.333333254,0.666666627,0,,0.328243322,0.671756678,0.258158508,0.121393791,0.006148921,0.173724954,4400,0,181741.6816,0,1,0,1,0,1
21,E01005475,0,0,0.199115204,0,7,3000,1,0.3,1810,6127,1810,134,100,0.002543311,0.333333343,1,0,,0.139380643,0.860619357,0.129281768,0.111262392,0.001582462,0.195127505,6033.333333,0,58813.09536,0,1,0,1,0,1
22,E01006113,-0.5,0,0.552833146,0,4,17112,6,0.17,1644,9728,1644,127,97,0.021652875,5.333333015,0.911111057,0,,0.386983202,0.613016798,0.136253041,0.041762702,0.013472538,0.157331512,9670.588235,0,93405.44282,0,1,0,1,0,1
23,E01005940,-0.4,0,0.010935702,0,6,15433,5,0.59,1417,2403,1417,237,210,0.001463239,0.333333254,0.999999881,0,,0.007654991,0.992345009,0.315455187,0.187824228,0.000910435,0.10564663,2401.694915,0,6449.003896,1,1,0,2,0,2
